LaunchTime,StopTime,DownloadNum,SuccessNum,SuccessRate,SuccessBurnAverageTime

11:10:1 11/15/2021,11:14:4 11/15/2021,1,1,%100.00,10.00s
11:14:9 11/15/2021,13:48:26 11/15/2021,1,1,%100.00,11.00s
15:7:4 11/15/2021,15:9:37 11/15/2021,1,1,%100.00,11.00s
15:9:59 11/15/2021,15:11:18 11/15/2021,1,1,%100.00,11.00s
15:15:34 11/15/2021,15:17:9 11/15/2021,1,1,%100.00,10.00s
15:17:59 11/15/2021,15:19:54 11/15/2021,1,1,%100.00,10.00s
15:19:57 11/15/2021,16:39:25 11/15/2021,1,1,%100.00,11.00s
17:49:58 11/15/2021,17:51:38 11/15/2021,1,1,%100.00,10.00s
17:56:35 11/15/2021,17:58:24 11/15/2021,1,1,%100.00,11.00s
9:55:53 11/16/2021,10:9:39 11/16/2021,1,1,%100.00,11.00s
10:13:28 11/16/2021,10:17:38 11/16/2021,1,1,%100.00,10.00s
10:19:28 11/16/2021,10:20:58 11/16/2021,1,1,%100.00,10.00s
9:36:48 11/22/2021,9:38:15 11/22/2021,1,1,%100.00,10.00s
9:38:19 11/22/2021,9:46:53 11/22/2021,1,1,%100.00,10.00s
11:18:27 2/24/2022,11:21:52 2/24/2022,1,1,%100.00,36.00s
17:29:48 3/3/2022,17:32:8 3/3/2022,1,1,%100.00,10.00s
17:32:54 3/3/2022,17:35:0 3/3/2022,1,1,%100.00,10.00s
14:52:36 3/10/2022,14:59:46 3/10/2022,3,3,%100.00,27.67s
11:6:35 3/11/2022,11:7:51 3/11/2022,1,1,%100.00,10.00s
11:11:56 3/11/2022,11:13:11 3/11/2022,1,1,%100.00,10.00s
11:19:37 3/11/2022,11:22:8 3/11/2022,1,1,%100.00,11.00s
14:3:54 3/11/2022,14:5:20 3/11/2022,1,1,%100.00,10.00s
14:58:4 3/11/2022,15:0:23 3/11/2022,1,1,%100.00,10.00s
15:0:39 3/11/2022,15:2:24 3/11/2022,1,1,%100.00,10.00s
15:7:13 3/11/2022,15:10:24 3/11/2022,2,2,%100.00,10.50s
15:15:50 3/11/2022,15:17:51 3/11/2022,1,1,%100.00,10.00s
17:9:15 3/14/2022,17:11:36 3/14/2022,1,1,%100.00,11.00s
17:12:17 3/14/2022,17:13:8 3/14/2022,1,1,%100.00,10.00s
14:34:46 3/15/2022,14:42:39 3/15/2022,1,1,%100.00,42.00s
17:0:30 3/15/2022,17:2:59 3/15/2022,2,2,%100.00,43.00s
17:10:30 3/15/2022,17:12:33 3/15/2022,2,2,%100.00,44.00s
17:35:45 3/15/2022,17:37:31 3/15/2022,2,2,%100.00,53.00s
14:6:19 8/2/2022,14:11:53 8/2/2022,3,3,%100.00,66.67s
14:32:3 8/2/2022,14:33:38 8/2/2022,1,1,%100.00,42.00s
18:3:59 6/14/2023,20:45:42 6/14/2023,2,2,%100.00,10.00s
9:59:30 8/31/2023,10:2:35 8/31/2023,1,0,%0.00,-1.#Js
10:3:40 8/31/2023,10:12:2 8/31/2023,2,2,%100.00,22.00s
10:46:36 8/31/2023,10:49:38 8/31/2023,1,1,%100.00,18.00s
10:43:33 10/9/2023,10:46:44 10/9/2023,1,0,%0.00,1.#Js
10:53:5 10/9/2023,10:54:35 10/9/2023,1,0,%0.00,1.#Js
10:59:4 10/9/2023,11:3:30 10/9/2023,1,0,%0.00,1.#Js
11:4:16 10/9/2023,11:9:51 10/9/2023,2,2,%100.00,160.00s
14:5:9 1/10/2024,14:7:43 1/10/2024,1,0,%0.00,1.#Js
14:35:50 1/10/2024,14:40:23 1/10/2024,1,0,%0.00,1.#Js
15:3:42 1/10/2024,15:6:11 1/10/2024,1,0,%0.00,1.#Js
15:10:31 1/10/2024,15:13:7 1/10/2024,1,0,%0.00,1.#Js
15:35:20 1/10/2024,15:37:45 1/10/2024,1,0,%0.00,1.#Js
15:40:11 1/10/2024,15:43:5 1/10/2024,1,0,%0.00,1.#Js
15:49:44 1/10/2024,15:54:18 1/10/2024,1,0,%0.00,1.#Js
15:55:4 1/10/2024,15:57:41 1/10/2024,1,0,%0.00,1.#Js
16:14:47 1/10/2024,16:16:17 1/10/2024,1,1,%100.00,81.00s
16:56:50 1/10/2024,16:58:43 1/10/2024,1,1,%100.00,79.00s
17:7:0 1/10/2024,17:9:31 1/10/2024,1,1,%100.00,80.00s
17:19:20 1/10/2024,17:21:15 1/10/2024,1,1,%100.00,84.00s
17:37:34 1/10/2024,17:39:18 1/10/2024,1,0,%0.00,1.#Js
17:40:4 1/10/2024,17:43:13 1/10/2024,1,1,%100.00,80.00s
14:21:12 1/12/2024,14:22:46 1/12/2024,1,1,%100.00,43.00s
10:10:59 1/15/2024,10:13:32 1/15/2024,1,1,%100.00,43.00s
10:13:43 1/15/2024,10:16:33 1/15/2024,1,0,%0.00,1.#Js
10:20:28 1/15/2024,10:22:12 1/15/2024,1,1,%100.00,81.00s
10:22:46 1/15/2024,10:25:37 1/15/2024,1,0,%0.00,1.#Js
9:19:57 1/24/2024,9:28:52 1/24/2024,2,1,%50.00,77.00s
9:29:38 1/24/2024,9:48:5 1/24/2024,2,2,%100.00,76.50s
9:49:10 1/24/2024,9:51:23 1/24/2024,1,1,%100.00,76.00s
9:54:20 1/24/2024,9:59:59 1/24/2024,3,3,%100.00,75.67s
9:57:53 4/9/2024,10:42:18 4/9/2024,2,2,%100.00,88.00s
15:9:51 5/15/2024,15:11:46 5/15/2024,1,1,%100.00,14.00s
16:50:19 8/30/2024,16:51:53 8/30/2024,1,1,%100.00,11.00s
